author_list_paper_id,author_list_author_id,author_list_affiliation_id
D15-1089,18516,
D15-1090,6622,
D15-1090,8119,
D15-1091,7508,
D15-1091,10334,
D15-1091,10410,
D15-1091,16237,
D15-1091,19041,
D15-1092,2942,
D15-1092,7608,
D15-1092,14574,
D15-1092,19572,
D15-1092,20682,
D15-1093,5490,
D15-1093,17376,
D15-1094,8976,
D15-1094,19354,
D15-1094,20041,
D15-1095,13640,
D15-1095,17968,
D15-1096,2904,
D15-1096,3736,
D15-1096,20649,
D15-1097,8492,
D15-1097,8595,
D15-1097,12249,
D15-1097,14531,
D15-1097,14656,
D15-1097,15562,
D15-1098,10391,
D15-1098,10403,
D15-1098,10425,
D15-1098,17294,
D15-1099,2708,
D15-1099,10342,
D15-1099,16197,
D15-1099,17330,
D15-1099,18922,
D15-1099,20561,
D15-1100,11240,
D15-1101,4492,
D15-1101,19208,
D15-1102,10926,
D15-1102,15305,
D15-1103,226,
D15-1103,3986,
D15-1103,5820,
D15-1103,19208,
D15-1104,7603,
D15-1104,10533,
D15-1104,10997,
D15-1104,13031,
D15-1105,5900,
D15-1105,9163,
D15-1105,20791,
D15-1106,10357,
D15-1106,10380,
D15-1106,10562,
D15-1106,10728,
D15-1106,19940,
D15-1106,20654,
D15-1107,3039,
D15-1107,12615,
D15-1108,3516,
D15-1108,4605,
D15-1108,13933,
D15-1109,281,
D15-1109,870,
D15-1109,9406,
D15-1109,13999,
D15-1110,13909,
D15-1110,17023,
D15-1111,1562,
D15-1111,17275,
D15-1111,17285,
D15-1112,3822,
D15-1112,5220,
D15-1112,5614,
D15-1112,18241,
D15-1113,5330,
D15-1113,5884,
D15-1113,6407,
D15-1113,14490,
D15-1113,19208,
D15-1114,3133,
D15-1114,8875,
D15-1114,14282,
D15-1114,20358,
D15-1115,526,
D15-1115,1051,
D15-1116,5912,
D15-1116,6497,
D15-1116,12603,
D15-1117,8952,
D15-1117,11040,
D15-1117,12947,
D15-1118,1157,
D15-1118,12186,
D15-1119,4193,
D15-1119,17280,
D15-1119,18331,
D15-1120,11449,
D15-1120,11701,
D15-1121,518,
D15-1121,3704,
D15-1121,20250,
D15-1122,11110,
D15-1122,11819,
D15-1123,3951,
D15-1123,6308,
D15-1123,19609,
D15-1124,6538,
D15-1124,13454,
D15-1124,21382,
D15-1125,1943,
D15-1125,12946,
D15-1125,16208,
D15-1125,16902,
D15-1126,3039,
D15-1126,10233,
D15-1127,4909,
D15-1127,5449,
D15-1127,5696,
D15-1127,7575,
D15-1127,12178,
D15-1127,13692,
D15-1127,16490,
D15-1127,17545,
D15-1128,5174,
D15-1128,17280,
D15-1128,18331,
D15-1128,19029,
D15-1129,2038,
D15-1129,5388,
D15-1129,16092,
D15-1130,2134,
D15-1130,12144,
D15-1130,13205,
D15-1130,13979,
D15-1131,1448,
D15-1131,3522,
D15-1131,11556,
D15-1131,19272,
D15-1132,8220,
D15-1132,20932,
D15-1133,12049,
D15-1133,14524,
D15-1134,10613,
D15-1134,13251,
D15-1135,10533,
D15-1135,10745,
D15-1135,15389,
D15-1135,16344,
D15-1135,19071,
D15-1136,7140,
D15-1136,9163,
D15-1136,11424,
D15-1136,11711,
D15-1136,14506,
D15-1137,9973,
D15-1137,20815,
D15-1138,687,
D15-1138,9111,
D15-1139,4570,
D15-1140,12436,
D15-1140,17492,
D15-1141,2942,
D15-1141,7608,
D15-1141,10713,
D15-1141,14574,
D15-1141,20682,
D15-1142,2931,
D15-1142,19708,
D15-1143,8489,
D15-1143,13387,
D15-1143,17280,
D15-1143,17497,
D15-1143,19128,
D15-1144,10754,
D15-1144,10945,
D15-1144,16310,
D15-1144,17314,
D15-1145,6776,
D15-1145,7593,
D15-1145,17200,
D15-1145,19700,
D15-1145,19991,
D15-1146,10754,
D15-1146,17200,
D15-1146,19700,
D15-1146,19991,
D15-1146,20373,
D15-1146,20447,
D15-1147,172,
D15-1147,429,
D15-1147,4486,
D15-1147,8353,
D15-1147,15562,
D15-1147,18716,
D15-1148,10337,
D15-1148,12885,
D15-1149,7578,
D15-1149,20363,
D15-1149,20544,
D15-1150,8991,
D15-1150,15748,
D15-1150,16751,
D15-1151,12377,
D15-1152,6622,
D15-1152,8828,
D15-1152,16217,
D15-1153,20445,
D15-1153,20514,
D15-1154,7455,
D15-1154,11115,
D15-1155,15940,
D15-1155,16062,
D15-1155,20087,
D15-1156,12696,
D15-1156,17520,
D15-1156,19839,
D15-1157,5321,
D15-1157,8463,
D15-1157,9963,
D15-1157,11058,
D15-1157,15016,
D15-1157,15314,
D15-1158,6092,
D15-1158,9037,
D15-1159,456,
D15-1159,3443,
D15-1159,14058,
D15-1159,19231,
D15-1160,2768,
D15-1160,3110,
D15-1160,11760,
D15-1161,626,
D15-1161,1709,
D15-1161,4505,
D15-1161,5072,
D15-1161,10536,
D15-1161,10605,
D15-1161,18049,
D15-1161,18173,
D15-1162,7393,
D15-1162,8273,
D15-1163,11871,
D15-1163,15750,
D15-1163,16477,
D15-1164,19033,
D15-1164,19700,
D15-1164,20447,
D15-1165,512,
D15-1165,6558,
D15-1165,12931,
D15-1165,14022,
D15-1165,19609,
D15-1166,11023,
D15-1166,11363,
D15-1166,14088,
D15-1167,10734,
D15-1167,14554,
D15-1167,17604,
D15-1168,8353,
D15-1168,10713,
D15-1168,11935,
D15-1169,7005,
D15-1169,10254,
D15-1169,20358,
D15-1170,10336,
D15-1170,10926,
D15-1170,20634,
D15-1170,20702,
D15-1171,4826,
D15-1171,4961,
D15-1171,6685,
D15-1171,11279,
D15-1171,16160,
D15-1172,1167,
D15-1172,1549,
D15-1172,6838,
D15-1172,8670,
D15-1172,18278,
D15-1173,5696,
D15-1173,12178,
D15-1174,2840,
D15-1174,3161,
D15-1174,5606,
D15-1174,13679,
D15-1174,14292,
D15-1174,18019,
D15-1175,15333,
D15-1175,16549,
D15-1175,16730,
D15-1176,626,
D15-1176,1709,
D15-1176,4505,
D15-1176,5072,
D15-1176,10605,
D15-1176,10971,
D15-1176,11567,
D15-1176,18049,
D15-1177,2992,
D15-1177,8614,
D15-1178,3332,
D15-1178,10879,
D15-1179,578,
D15-1179,4838,
D15-1179,5867,
D15-1179,8095,
D15-1179,20426,
D15-1180,1233,
D15-1180,7963,
D15-1180,10138,
D15-1181,5968,
D15-1181,6998,
D15-1181,10551,
D15-1182,12972,
D15-1182,13245,
D15-1183,10377,
D15-1183,12013,
D15-1183,20696,
D15-1184,3120,
D15-1184,8980,
D15-1185,2708,
D15-1185,8181,
D15-1185,10391,
D15-1185,16197,
D15-1185,17261,
D15-1186,2708,
D15-1186,8181,
D15-1186,17261,
D15-1186,19073,
D15-1187,20634,
D15-1187,20705,
D15-1187,20795,
D15-1188,4180,
D15-1189,853,
D15-1189,3133,
D15-1189,10062,
D15-1189,20358,
D15-1190,6919,
D15-1190,9146,
D15-1190,13336,
D15-1190,17995,
D15-1191,6491,
D15-1191,11016,
D15-1191,18873,
D15-1191,18980,
D15-1192,3333,
D15-1192,12130,
D15-1192,19120,
D15-1193,5947,
D15-1193,7601,
D15-1193,10451,
D15-1193,19602,
D15-1194,3361,
D15-1194,10521,
D15-1195,5108,
D15-1195,14807,
D15-1195,15378,
D15-1195,18406,
D15-1196,10777,
D15-1196,10945,
D15-1196,10999,
D15-1196,17314,
D15-1197,1911,
D15-1197,6298,
D15-1197,16715,
D15-1197,18700,
D15-1198,853,
D15-1198,10062,
D15-1198,20358,
D15-1199,5739,
D15-1199,12522,
D15-1199,17202,
D15-1199,18461,
D15-1199,19258,
D15-1199,20160,
D15-1200,8393,
D15-1200,10332,
D15-1201,4952,
D15-1201,7100,
D15-1201,20024,
D15-1202,15305,
D15-1202,15355,
D15-1203,2967,
D15-1203,10698,
D15-1203,20343,
D15-1203,20543,
D15-1204,3986,
D15-1204,5820,
D15-1204,14056,
D15-1205,4367,
D15-1205,6199,
D15-1205,20202,
D15-1206,2974,
D15-1206,8234,
D15-1206,10294,
D15-1206,12498,
D15-1206,13929,
D15-1206,19764,
D15-1207,6279,
D15-1207,12876,
D15-1207,17078,
D15-1208,5240,
D15-1208,6550,
D15-1209,5174,
D15-1209,17280,
D15-1209,18331,
D15-1209,19029,
D15-1209,19128,
D15-1210,10661,
D15-1210,10754,
D15-1210,10945,
D15-1210,17314,
D15-1210,20180,
D15-1211,8136,
D15-1211,14547,
D15-1211,14959,
D15-1211,20445,
D15-1211,20514,
D15-1212,3542,
D15-1213,1233,
D15-1213,20511,
D15-1214,3332,
D15-1214,12788,
D15-1215,2942,
D15-1215,7608,
D15-1215,14574,
D15-1215,20671,
D15-1215,20682,
D15-1216,8862,
D15-1216,9884,
D15-1216,10117,
D15-1217,866,
D15-1217,7899,
D15-1217,11581,
D15-1217,11613,
D15-1217,13270,
D15-1217,15588,
D15-1218,1719,
D15-1218,8864,
D15-1218,9586,
D15-1218,14361,
D15-1218,18080,
D15-1219,10398,
D15-1220,1939,
D15-1220,4990,
D15-1220,12501,
D15-1221,14336,
D15-1221,15226,
D15-1221,15400,
D15-1222,218,
D15-1222,12941,
D15-1223,9901,
D15-1223,10640,
D15-1223,18462,
D15-1224,1225,
D15-1224,6004,
D15-1224,11153,
D15-1224,15057,
D15-1225,7022,
D15-1225,19716,
D15-1225,20629,
D15-1226,13792,
D15-1226,14764,
D15-1226,17161,
D15-1227,10634,
D15-1227,11008,
D15-1228,10666,
D15-1228,16730,
D15-1228,20098,
D15-1229,2921,
D15-1229,7496,
D15-1229,20688,
D15-1230,1679,
D15-1230,11819,
D15-1231,5526,
D15-1231,5930,
D15-1232,9183,
D15-1232,13140,
D15-1232,20021,
D15-1233,4509,
D15-1233,18556,
D15-1233,19652,
D15-1234,11275,
D15-1234,12792,
D15-1234,14724,
D15-1234,17014,
D15-1235,6115,
D15-1235,10410,
D15-1236,3257,
D15-1236,10423,
D15-1237,11860,
D15-1237,19963,
D15-1237,20074,
D15-1238,11987,
D15-1238,12144,
D15-1239,4931,
D15-1239,6685,
D15-1239,7981,
D15-1239,13499,
D15-1239,20318,
D15-1240,7981,
D15-1240,13499,
D15-1241,1136,
D15-1241,9385,
D15-1241,17545,
D15-1242,3261,
D15-1242,7214,
D15-1242,8882,
D15-1243,4505,
D15-1243,4979,
D15-1243,9814,
D15-1243,10605,
D15-1243,18173,
D15-1244,1379,
D15-1244,11566,
D15-1244,12123,
D15-1244,12220,
D15-1245,8255,
D15-1245,11561,
D15-1245,17441,
D15-1246,9705,
D15-1247,758,
D15-1247,12171,
D15-1248,6635,
D15-1248,16149,
D15-1249,3082,
D15-1249,3951,
D15-1250,12732,
D15-1250,12905,
D15-1250,17280,
D15-1250,18331,
D15-1250,20427,
D15-1251,9298,
D15-1251,16730,
D15-1251,20098,
D15-1252,2974,
D15-1252,8234,
D15-1252,10294,
D15-1252,10933,
D15-1252,12498,
D15-1252,13929,
D15-1253,5048,
D15-1253,11205,
D15-1253,18958,
D15-1253,19643,
D15-1253,20626,
D15-1254,7554,
D15-1255,6550,
D15-1255,6625,
D15-1256,4603,
D15-1256,13861,
D15-1257,11819,
D15-1257,13525,
D15-1258,2188,
D15-1258,12859,
D15-1259,5656,
D15-1259,10328,
D15-1259,13927,
D15-1259,19201,
D15-1259,19480,
D15-1260,6919,
D15-1260,7782,
D15-1260,9146,
D15-1260,13336,
D15-1260,17995,
D15-1261,7624,
D15-1261,13804,
D15-1261,20621,
D15-1262,2032,
D15-1262,4048,
D15-1263,1592,
D15-1263,4603,
D15-1263,8146,
D15-1264,4603,
D15-1264,8146,
D15-1264,20399,
D15-1265,1111,
D15-1265,8967,
D15-1265,10299,
D15-1266,4406,
D15-1266,10935,
D15-1266,17200,
D15-1266,19700,
D15-1266,19991,
D15-1266,20373,
D15-1267,4547,
D15-1267,6550,
D15-1267,9154,
D15-1268,760,
D15-1268,5506,
D15-1268,7204,
D15-1268,9191,
D15-1268,12235,
D15-1268,18160,
D15-1269,682,
D15-1269,877,
D15-1269,898,
D15-1269,9184,
D15-1269,12242,
D15-1269,12686,
D15-1269,12734,
D15-1270,5448,
D15-1270,10706,
D15-1270,10734,
D15-1270,16831,
D15-1271,1562,
D15-1271,4252,
D15-1271,12253,
D15-1272,3516,
D15-1272,5388,
D15-1272,12664,
D15-1272,16066,
D15-1273,2270,
D15-1273,7775,
D15-1273,20922,
D15-1274,1388,
D15-1274,6013,
D15-1275,13201,
D15-1275,16513,
D15-1276,8691,
D15-1276,9651,
D15-1276,12449,
D15-1277,8486,
D15-1277,12436,
D15-1277,18169,
D15-1278,7455,
D15-1278,8393,
D15-1278,10332,
D15-1278,11023,
D15-1279,8234,
D15-1279,10294,
D15-1279,12498,
D15-1279,13929,
D15-1279,19764,
D15-1279,20443,
D15-1280,2942,
D15-1280,7608,
D15-1280,10713,
D15-1280,14574,
D15-1280,19572,
D15-1281,204,
D15-1281,2240,
D15-1281,10612,
D15-1281,12049,
D15-1281,14524,
D15-1281,19666,
D15-1282,5006,
D15-1282,10649,
D15-1283,2194,
D15-1283,2436,
D15-1283,12049,
D15-1284,4505,
D15-1284,7455,
D15-1284,9938,
D15-1284,19906,
D15-1285,5108,
D15-1285,5684,
D15-1285,11710,
D15-1285,11777,
D15-1285,18406,
D15-1285,19427,
D15-1286,2395,
D15-1286,12792,
D15-1287,5710,
D15-1287,12361,
D15-1288,3338,
D15-1288,6645,
D15-1288,14051,
D15-1288,16250,
D15-1289,2708,
D15-1289,8181,
D15-1289,17261,
D15-1289,19644,
D15-1290,1637,
D15-1290,15048,
D15-1291,10932,
D15-1291,14568,
D15-1291,20514,
D15-1292,3638,
D15-1292,15541,
D15-1293,3261,
D15-1293,8882,
D15-1294,5430,
D15-1294,14170,
D15-1295,9873,
D15-1295,19503,
D15-1296,228,
D15-1297,4045,
D15-1297,11001,
D15-1297,19194,
D15-1297,20183,
D15-1298,12993,
D15-1298,16418,
D15-1299,595,
D15-1299,893,
D15-1299,12677,
D15-1300,291,
D15-1300,1605,
D15-1300,6523,
D15-1300,16264,
D15-1301,1870,
D15-1301,7454,
D15-1301,16574,
D15-1302,1480,
D15-1302,4818,
D15-1302,8211,
D15-1302,11407,
D15-1302,11560,
D15-1302,12419,
D15-1303,2371,
D15-1303,5808,
D15-1303,14316,
D15-1304,4791,
D15-1304,14744,
D15-1305,7446,
D15-1305,10403,
D15-1305,16816,
D15-1305,19695,
D15-1305,20453,
D15-1306,19023,
D15-1306,19906,
D15-1307,1765,
D15-1307,8784,
D15-1307,19393,
D15-1308,4582,
D15-1308,6952,
D15-1308,7200,
D15-1308,12967,
D15-1308,21402,
D15-1309,7370,
D15-1309,13533,
D15-1309,14477,
D15-1309,15981,
D15-1310,9940,
D15-1310,13489,
D15-1310,19615,
D15-1311,1849,
D15-1311,3338,
D15-1311,10974,
D15-1312,15046,
D15-1312,18700,
D16-1001,3605,
D16-1001,7578,
D16-1002,11566,
D16-1002,12220,
D16-1003,5141,
D16-1003,6092,
D16-1004,8273,
D16-1004,12220,
D16-1004,13148,
D16-1005,2526,
D16-1005,3391,
D16-1005,7584,
D16-1005,8393,
D16-1005,15068,
D16-1006,1616,
D16-1006,7984,
D16-1006,14645,
D16-1007,4045,
D16-1007,11106,
D16-1007,17978,
D16-1007,19972,
D16-1008,10926,
D16-1008,12544,
D16-1009,6661,
D16-1009,8753,
D16-1010,1156,
D16-1010,6085,
D16-1010,17078,
D16-1011,1233,
D16-1011,7963,
D16-1011,10138,
D16-1012,7608,
D16-1012,10713,
D16-1012,14574,
D16-1013,985,
D16-1013,16860,
D16-1013,17270,
D16-1013,18078,
D16-1013,20036,
D16-1013,20231,
D16-1014,3257,
D16-1014,6746,
D16-1014,8056,
D16-1014,16271,
D16-1014,17350,
D16-1015,6548,
D16-1015,16969,
D16-1015,17213,
D16-1015,19879,
D16-1015,20022,
D16-1016,8763,
D16-1016,9479,
D16-1016,17462,
D16-1017,4016,
D16-1017,9100,
D16-1017,15828,
D16-1017,17780,
D16-1017,17889,
D16-1018,14569,
D16-1018,18175,
D16-1018,20216,
D16-1019,6491,
D16-1019,6494,
D16-1019,18873,
D16-1019,18959,
D16-1019,18980,
D16-1020,2033,
D16-1020,4048,
D16-1021,10734,
D16-1021,14554,
D16-1021,17604,
D16-1022,8908,
D16-1022,10649,
D16-1022,16455,
D16-1022,19719,
D16-1023,8169,
D16-1023,20188,
D16-1024,18863,
D16-1024,19655,
D16-1024,20670,
D16-1025,1472,
D16-1025,1687,
D16-1025,2623,
D16-1025,5002,
D16-1026,431,
D16-1026,3102,
D16-1026,5195,
D16-1026,15699,
D16-1026,18772,
D16-1027,10300,
D16-1027,10720,
D16-1027,10941,
D16-1027,18970,
D16-1028,3332,
D16-1028,11457,
D16-1028,11545,
D16-1028,16730,
D16-1029,2726,
D16-1029,2732,
D16-1029,18297,
D16-1029,20074,
D16-1030,15103,
D16-1030,17447,
D16-1030,19755,
D16-1031,1765,
D16-1031,12016,
D16-1032,3133,
D16-1032,8876,
D16-1032,20358,
D16-1033,617,
D16-1033,2084,
D16-1033,18019,
D16-1033,18040,
D16-1034,2137,
D16-1034,3234,
D16-1034,4002,
D16-1034,18564,
D16-1035,2708,
D16-1035,10368,
D16-1035,10394,
D16-1036,4305,
D16-1036,10750,
D16-1036,17858,
D16-1036,19551,
D16-1036,19876,
D16-1036,20172,
D16-1036,20562,
D16-1036,20666,
D16-1037,4406,
D16-1037,8143,
D16-1037,10720,
D16-1037,19700,
D16-1037,20373,
D16-1037,20447,
D16-1037,21343,
D16-1038,13930,
D16-1038,15305,
D16-1038,16836,
D16-1039,715,
D16-1039,7658,
D16-1039,12947,
D16-1039,17669,
D16-1040,13075,
D16-1040,15549,
D16-1040,17544,
D16-1041,719,
D16-1041,1970,
D16-1041,2367,
D16-1041,15523,
D16-1042,2160,
D16-1043,3261,
D16-1043,8882,
D16-1043,18606,
D16-1044,3810,
D16-1044,5484,
D16-1044,13739,
D16-1044,15203,
D16-1044,15204,
D16-1044,19905,
D16-1045,4382,
D16-1045,14910,
D16-1046,8234,
D16-1046,10294,
D16-1046,11942,
D16-1046,12498,
D16-1046,19764,
D16-1046,19876,
D16-1046,20443,
D16-1047,1592,
D16-1047,4603,
D16-1047,6563,
D16-1048,2329,
D16-1048,8183,
D16-1048,19726,
D16-1048,20472,
D16-1049,8691,
D16-1049,9651,
D16-1049,12760,
D16-1049,13504,
D16-1050,4406,
D16-1050,19700,
D16-1050,20373,
D16-1050,20447,
D16-1050,21343,
D16-1051,3368,
D16-1051,16558,
D16-1051,17039,
D16-1052,1620,
D16-1052,5638,
D16-1052,10733,
D16-1052,17857,
D16-1052,18926,
D16-1052,20681,
D16-1053,2992,
D16-1053,4309,
D16-1053,9873,
D16-1054,6548,
D16-1054,15499,
D16-1054,16969,
D16-1054,17213,
D16-1054,17303,
D16-1054,19879,
D16-1054,19884,
D16-1055,1905,
D16-1055,18202,
D16-1056,174,
D16-1056,9137,
D16-1056,9831,
D16-1057,3256,
D16-1057,6737,
D16-1057,8393,
D16-1057,10198,
D16-1058,7580,
D16-1058,19053,
D16-1058,20547,
D16-1058,21440,
D16-1059,3726,
D16-1059,13655,
D16-1059,19021,
D16-1059,19662,
D16-1060,9742,
D16-1060,12550,
D16-1061,5828,
D16-1061,20254,
D16-1061,20488,
D16-1061,20553,
D16-1061,20673,
D16-1062,9792,
D16-1062,19547,
D16-1062,21429,
D16-1063,8144,
D16-1063,11666,
D16-1063,18690,
D16-1063,19891,
D16-1063,20239,
D16-1064,7526,
D16-1064,10607,
D16-1064,15362,
D16-1065,6416,
D16-1065,10372,
D16-1065,14529,
D16-1065,18328,
D16-1065,19712,
D16-1065,20644,
D16-1066,4986,
D16-1066,7430,
D16-1067,9943,
D16-1067,10686,
D16-1067,19587,
D16-1067,20570,
D16-1067,20630,
D16-1068,14910,
D16-1068,17688,
D16-1068,20039,
D16-1069,6502,
D16-1069,7608,
D16-1069,14541,
D16-1069,20455,
D16-1069,20671,
D16-1070,2862,
D16-1070,10720,
D16-1070,20514,
D16-1071,4532,
D16-1071,12664,
D16-1071,16066,
D16-1072,2755,
D16-1072,10439,
D16-1072,19928,
D16-1072,20447,
D16-1073,6775,
D16-1073,8189,
D16-1073,18175,
D16-1074,11970,
D16-1074,13792,
D16-1074,17161,
D16-1075,2708,
D16-1075,3650,
D16-1075,5780,
D16-1075,10391,
D16-1075,17261,
D16-1075,20654,
D16-1076,11493,
D16-1076,18834,
D16-1076,20500,
D16-1077,7617,
D16-1077,10566,
D16-1078,10362,
D16-1078,11007,
D16-1078,11020,
D16-1078,14553,
D16-1078,20634,
D16-1078,20705,
D16-1079,7608,
D16-1079,14545,
D16-1079,14574,
D16-1080,6131,
D16-1080,7608,
D16-1080,19045,
D16-1080,20455,
D16-1081,4309,
D16-1081,11049,
D16-1081,17567,
D16-1081,19190,
D16-1081,20654,
D16-1082,7986,
D16-1082,21429,
D16-1083,7010,
D16-1083,10698,
D16-1083,19039,
D16-1083,20543,
D16-1084,916,
D16-1084,1849,
D16-1084,15159,
D16-1084,18700,
D16-1085,6360,
D16-1085,12994,
D16-1086,3715,
D16-1086,4904,
D16-1086,6550,
D16-1086,17000,
D16-1087,1082,
D16-1087,5109,
D16-1087,7444,
D16-1087,14576,
D16-1087,20651,
D16-1088,1000,
D16-1088,7584,
D16-1089,7436,
D16-1089,12555,
D16-1090,1134,
D16-1090,1265,
D16-1090,3175,
D16-1090,13727,
D16-1090,14840,
D16-1091,317,
D16-1091,1134,
D16-1091,1265,
D16-1091,2700,
D16-1091,13727,
D16-1092,317,
D16-1092,1265,
D16-1092,3816,
D16-1092,13727,
D16-1092,20774,
D16-1093,17857,
D16-1093,19061,
D16-1094,3338,
D16-1094,6645,
D16-1094,16250,
D16-1095,3054,
D16-1095,10926,
D16-1095,11075,
D16-1096,7920,
D16-1096,12011,
D16-1096,15699,
D16-1096,19077,
D16-1097,3516,
D16-1097,8535,
D16-1097,16066,
D16-1098,16341,
