paper_paper_id,title,venue,year
A00-3004,A Weighted Robust Parsing Approach To Semantic Annotation,NAACL,2000
A00-3005,Corpus-Based Syntactic Error Detection Using Syntactic Patterns,NAACL,2000
A00-3006,The Use Of Error Tags In ARTFL's Encyclopedia: Does Good Error Identification Lead To Good Error Correction?,NAACL,2000
A00-3007,Word Sense Disambiguation For Cross-Language Information Retrieval,NAACL,2000
A00-3008,Multiple Discourse Marker Occurrence: Creating Hierarchies For Natural Language Generation,NAACL,2000
A83-1001,Domain-Independent Natural Language Interfaces: Session Introduction,ANLP,1983
A83-1002,Problems In Natural-Language Interface To DSMS With Examples From EUFID,ANLP,1983
A83-1003,Introducing ASK A Simple Knowledgeable System,ANLP,1983
A83-1004,A Robust Portable Natural Language Data Base Interface,ANLP,1983
A83-1005,IR-NLI : An Expert Natural Language Interface To Online Data Bases,ANLP,1983
A83-1006,TEAM: A Transportable Natural-Language Interface System,ANLP,1983
A83-1007,Isolating Domain Dependencies In Natural Language Interfaces,ANLP,1983
A83-1008,Knowledge-Based Approaches: Session Introduction,ANLP,1983
A83-1009,Distinguishing Fact From Opinion And Events From Meta-Events,ANLP,1983
A83-1010,Parsing With Logical Variables,ANLP,1983
A83-1011,EXPLORER: A Natural Language Processing System For Oil Exploration,ANLP,1983
A83-1012,Knowledge Based Question Answering,ANLP,1983
A83-1013,How To Drive A Database Front End Using General Semantic Information,ANLP,1983
A83-1014,Handling Ill-Formed Input: Session Introduction,ANLP,1983
A83-1015,The Fitted Parse: 100% Parsing Capability In A Syntactic Grammar Of English,ANLP,1983
A83-1016,Utilizing Domain-Specific Information For Processing Compact Text,ANLP,1983
A83-1017,Scruffy Text Understanding: Design And Implementation Of The NOMAD System,ANLP,1983
A83-1018,Text Analysis: Session Introduction,ANLP,1983
A83-1019,Specialized Information Extraction: Automatic Chemical Reaction Coding From English Descriptions,ANLP,1983
A83-1020,Automatic Analysis Of Descriptive Texts,ANLP,1983
A83-1021,Expertness From Structured Text? RECONSIDER: A Diagnostic Prompting Program,ANLP,1983
A83-1022,Using Natural Language Descriptions To Improve The Usability Of Databases,ANLP,1983
A83-1023,Natural Language Text Segmentation Techniques Applied To The Automatic Compilation Of Printed Subject Indexes And For Online Database Access,ANLP,1983
A83-1024,Automatic Representation Of The Semantic Relationships Corresponding To A French Surface Expression,ANLP,1983
A83-1025,Machine Translation: Session Introduction,ANLP,1983
A83-1026,Investigating The Possibility Of A Microprocessor-Based Machine Translation System,ANLP,1983
A83-1027,An Application Of MONTAGUE Grammar To English-Japanese Machine Translation,ANLP,1983
A83-1028,A Status Report On The LRC Machine,ANLP,1983
A83-1029,Computer-Assisted Translation Systems: The Standard Design And A Multi-Level Design,ANLP,1983
A83-1030,Speech Interfaces: Session Introduction,ANLP,1983
A83-1031,Interactive Natural Language Problem Solving: A Pragmatic Approach,ANLP,1983
A83-1032,Application Of The Liberman-Prince Stress Rules To Computer Synthesized Speech,ANLP,1983
A83-1033,The Impact Of Natural Language Access On Database Design And Implementation,ANLP,1983
A88-1001,The Multimedia Articulation Of Answers In A Natural Language Database Query System,ANLP,1988
A88-1002,A News Story Categorization System,ANLP,1988
A88-1003,An Architecture For Anaphora Resolution,ANLP,1988
A88-1004,The SEMSYN Generation System: Ingredients Applications Prospects,ANLP,1988
A88-1005,Two Simple Prediction Algorithms To Facilitate Text Production,ANLP,1988
A88-1006,From Water To Wine: Generating Natural Language Text From Today's Applications Programs,ANLP,1988
A88-1007,Improved Portability And Parsing Through Interactive Acquisition Of Semantic Information,ANLP,1988
A88-1008,Handling Scope Ambiguities In English,ANLP,1988
A88-1009,Responding To Semantically Ill-Formed Input,ANLP,1988
A88-1010,Evaluation Of A Parallel Chart Parser,ANLP,1988
A88-1011,TRIPHONE Analysis: A Combined Method For The Correction Of Orthographical And Typographical Errors,ANLP,1988
A88-1012,Creating And Querying Lexical Data Bases,ANLP,1988
A88-1013,CN YUR CMPUTR RAED THS?,ANLP,1988
A88-1014,Building A Large Thesaurus For Information Retrieval,ANLP,1988
A88-1015,Application-Specific Issues In Natural Language Interfacer Development For A Diagnostic Expert System,ANLP,1988
A88-1016,The MULTIVOC Text-To-Speech System,ANLP,1988
A88-1017,Structure From Anarchy: Meta Level Representation Of Expert System Propositions For Natural Language Interfaces,ANLP,1988
A88-1018,Integrating Top-Down And Bottom-Up Strategies In A Text Processing System,ANLP,1988
A88-1019,A Stochastic Parts Program And Noun Phrase Parser For Unrestricted Text,ANLP,1988
A88-1020,A Tool For Investigating Tile Synonymy Relation In A Sense Disambiguated Thesaurus,ANLP,1988
A88-1021,Dictionary Text Entries As A Source Of Knowledge For Syntactic And Other Disambiguations,ANLP,1988
A88-1022,Eurotra Practical Experience With A Multilingual Machine Translation System Under Development,ANLP,1988
A88-1023,Valency And MT: Recent Developments In The Metal System,ANLP,1988
A88-1024,Natural Language Interfaces: Present And Future,ANLP,1988
A88-1025,Automatically Generating Natural Language Reports In An Office Environment,ANLP,1988
A88-1026,LUKE: An Experiment In The Early Integration Of Natural Language Processing,ANLP,1988
A88-1027,The Experience Of Developing A Large-Scale Natural Language Text Processing System: Critique,ANLP,1988
A88-1028,Computational Techniques For Improved Name Search,ANLP,1988
A88-1029,The TIC: Parsing Interesting Text,ANLP,1988
A88-1030,Finding Clauses In Unrestricted Text By Finitary And Stochastic Methods,ANLP,1988
A88-1031,Morphological Processing In The NABU System,ANLP,1988
A88-1032,Localizing Expression Of Ambiguity,ANLP,1988
A88-1033,Combinatorial Disambiguation,ANLP,1988
A88-1034,Canonical Representation In NLP System Design: A Critical Evaluation,ANLP,1988
A92-1001,Deriving Database Queries From Logical Forms By Abductive Definition Expansion,ANLP,1992
A92-1002,A Dialog Control Algorithm And Its Performance,ANLP,1992
A92-1003,An Approach To Multilevel Semantics For Applied Systems,ANLP,1992
A92-1004,A Parser For Real-Time Speech Synthesis Of Conversational Texts,ANLP,1992
A92-1005,Real-Time Linguistic Analysis For Continuous Speech Understanding,ANLP,1992
A92-1006,Applied Text Generation,ANLP,1992
A92-1007,Automatic Generation Of Multimodal Weather Reports From Datasets,ANLP,1992
A92-1008,Generating Spatial Descriptions For Cross-Modal References,ANLP,1992
A92-1009,Automatic Generation Of On-Line Documentation In The IDAS Project,ANLP,1992
A92-1010,Integrating Natural Language Components Into Graphical Discourse,ANLP,1992
A92-1011,The Acquisition Of Lexical Knowledge From Combined Machine-Readable Dictionary Sources,ANLP,1992
A92-1012,The ACQUILEX LKB: Representation Issues In Semi-Automatic Acquisition Of Large Lexicons,ANLP,1992
A92-1013,Computational Lexicons: The Neat Examples And The Odd Exemplars,ANLP,1992
A92-1014,Automatic Learning For Semantic Collocation,ANLP,1992
A92-1015,Detecting And Correcting Morpho-Syntactic Errors In Real Texts,ANLP,1992
A92-1016,XUXEN: A Spelling Checker/Corrector For Basque Based On Two-Level Morphology,ANLP,1992
A92-1017,Extended Spelling Correction For German,ANLP,1992
A92-1018,A Practical Part-Of-Speech Tagger,ANLP,1992
A92-1019,DILEMMA-2: A Lemmatizer-Tagger For Medical Abstracts,ANLP,1992
A92-1020,A Corpus-Based Statistical Approach To Automatic Book Indexing,ANLP,1992
A92-1021,A Simple Rule-Based Part Of Speech Tagger,ANLP,1992
A92-1022,Evaluating Parsing Strategies Using Standardized Parse Files,ANLP,1992
A92-1023,A Practical Methodology For The Evaluation Of Spoken Language Systems,ANLP,1992
A92-1024,Automatic Extraction Of Facts From Press Releases To Generate News Stories,ANLP,1992
A92-1025,Joining Statistics With NLP For Text Categorization,ANLP,1992
A92-1026,Robust Processing Of Real-World Natural-Language Texts,ANLP,1992
A92-1027,An Efficient Chart-Based Algorithm For Partial-Parsing Of Unrestricted Texts,ANLP,1992
A92-1028,Zero Pronoun Resolution In A Machine Translation System By Using Japanese To English Verbal Semantic Attributes,ANLP,1992
A92-1029,Compound Nouns In A Unification-Based MT System,ANLP,1992
A92-1030,XTAG - A Graphical Workbench For Developing Tree-Adjoining Grammars,ANLP,1992
A92-1031,Tagging And Alignment Of Parallel Texts: Current Status Of BCP,ANLP,1992
A92-1032,Robust Parsing Of Natural Language Descriptions Expressed In Telegraphic Style,ANLP,1992
A92-1033,Overview Of Natural Language Processing Of Captions For Retrieving Multimedia Data,ANLP,1992
A92-1034,MORPHE: A Practical Compiler For Reversible Morphology Rules,ANLP,1992
A92-1035,Practical World Modeling For NLP Applications,ANLP,1992
A92-1036,Portable Natural Language Generation Using SPOKESMAN,ANLP,1992
A92-1037,A Method Of Automatic Hypertext Construction From An Encyclopedic Dictionary Of A Specific Field,ANLP,1992
A92-1038,Datenbank-Dialog And The Relevance Of Habitability,ANLP,1992
A92-1039,Tools For Grammar Engineering,ANLP,1992
A92-1040,Dialogue Management For Telephone Information Systems,ANLP,1992
A92-1041,Lexicon Design Using A Paradigmatic Approach,ANLP,1992
A92-1042,Acquiring And Exploiting The User's Knowledge In Guidance Interactions,ANLP,1992
A92-1043,Learning A Scanning Understanding For Real-World Library Categorization,ANLP,1992
A92-1044,SEISD: An Environment For Extraction Of Semantic Information From On-Line Dictionaries,ANLP,1992
A92-1045,Multi-Purpose Development And Operation Environments For Natural Language Applications,ANLP,1992
A92-1046,The Role Of Testing In Grammar Engineering,ANLP,1992
A92-1047,Lexical Processing In The CLARE System,ANLP,1992
A94-1001,Bilingual Generation Of Job From Quasi-Conceptual Descriptions Forms,ANLP,1994
A94-1002,Practical Issues In Automatic Documentation Generation,ANLP,1994
A94-1003,Language Determination: Natural Language Processing From Scanned Document Images,ANLP,1994
A94-1004,Modeling Content Identification From Document Images,ANLP,1994
A94-1005,Machine Translation Of Sentences With Fixed Expressions,ANLP,1994
A94-1006,Termight: Identifying And Translating Technical Terminology,ANLP,1994
A94-1007,Symmetric Pattern Matching Analysis For English Coordinate Structures,ANLP,1994
A94-1008,Tagging Accurately - Don't Guess If You Know,ANLP,1994
A94-1009,Does Baum-Welch Re-Estimation Help Taggers?,ANLP,1994
A94-1010,Improving Language Models By Clustering Training Sentences,ANLP,1994
A94-1011,Exploiting Sophisticated Representations For Document Retrieval,ANLP,1994
A94-1012,Combination Of Symbolic And Statistical Approaches For Grammatical Knowledge Acquisition,ANLP,1994
A94-1013,Adaptive Sentence Boundary Disambiguation,ANLP,1994
A94-1014,Acquiring Knowledge From Encyclopedic Texts,ANLP,1994
A94-1015,A Successful Case Of Computer Aided Translation,ANLP,1994
A94-1016,Three Heads Are Better Than One,ANLP,1994
A94-1017,Real-Time Spoken Language Translation Using Associative Processors,ANLP,1994
A94-1018,Yet Another Chart-Based Technique For Parsing Ill-Formed Input,ANLP,1994
A94-1019,Recycling Terms Into A Partial Parser,ANLP,1994
A94-1020,Resolving Anaphora In A Portable Natural Language Front End To Databases,ANLP,1994
A94-1021,Upholding The Maxim Of Relevance During Patient-Centered Activities,ANLP,1994
A94-1022,The Delphi Natural Language Understanding System,ANLP,1994
A94-1023,Understanding Location Descriptions In The LEI System,ANLP,1994
A94-1024,Tagging And Morphological Disambiguation Of Turkish Text,ANLP,1994
A94-1025,A Robust Category Guesser For Dutch Medical Language,ANLP,1994
A94-1026,Handling Japanese Homophone Errors In Revision Support System For Japanese Texts; REVISE,ANLP,1994
A94-1027,A Probabilistic Model For Text Categorization: Based On A Single Random Variable With Multiple Values,ANLP,1994
A94-1028,Robust Text Processing In Automated Information Retrieval,ANLP,1994
A94-1029,Might A Semantic Lexicon Support Hypertextual Authoring?,ANLP,1994
A94-1030,Improving Chinese Tokenization With Linguistic Filters On Statistical Lexical Acquisition,ANLP,1994
A94-1031,Degraded Text Recognition Using Word Collocation And Visual Inter-Word Constraints,ANLP,1994
A94-1032,Automatic Aquisition Of Semantic Attributes For User Defined Words M Japanese To English Machine Translation,ANLP,1994
A94-1033,Degraded Text Recognition Using Word Collocation And Visual Inter-Word Constraints,ANLP,1994
A94-1034,Using Syntactic Dependencies For Word Alignment,ANLP,1994
A94-1035,English Adverb Generation In Japanese To English Machine Translation,ANLP,1994
A94-1036,A Practical Evaluation Of An Integrated Translation Tool During A Large Scale Localisation Project,ANLP,1994
A94-1037,Spelling Correction In Agglutinative Languages,ANLP,1994
A94-1038,Integration Of Example-Based Transfer And Rule-Based Generation,ANLP,1994
A94-1039,An Evaluation Of A Method To Detect And Correct Erroneous Characters In Japanese Input Through An OCR Using Markov Models,ANLP,1994
A94-1040,Multifunction Thesaurus For Russian Word Processing,ANLP,1994
A94-1041,Representing Knowledge For Planning Multisentential Text,ANLP,1994
A94-1042,Guided Sentences Composition For Disabled People,ANLP,1994
A94-1043,An Interactive Rewriting Tool For Machine Acceptable Sentences,ANLP,1994
A94-1044,TECHDOC: Multilingual Generation Of Online And Offline Instructional Text,ANLP,1994
A94-1045,An Inheritance-Based Lexicon For Message Understanding Systems,ANLP,1994
A94-1046,Industrial Applications Of Unification Morphology,ANLP,1994
A94-1047,Sublanguage Engineering In The FOG System,ANLP,1994
A97-1001,CommandTalk: A Spoken-Language Interface For Battlefield Simulations,ANLP,1997
A97-1002,Natural Language In Four Spatial Interfaces,ANLP,1997
A97-1003,High Performance Segmentation Of Spontaneous Speech Using Part Of Speech And Trigger Word Information,ANLP,1997
A97-1004,A Maximum Entropy Approach To Identifying Sentence Boundaries,ANLP,1997
A97-1005,QuickSet: Multimodal Interaction For Simulation Set-Up And Control,ANLP,1997
A97-1006,Natural Language Dialogue Service For Appointment Scheduling Agents,ANLP,1997
A97-1007,Insights Into The Dialogue Processing Of VERBMOBIL,ANLP,1997
A97-1008,An Evaluation Of Strategies For Selective Utterance Verification For Spoken Natural Language Dialog,ANLP,1997
A97-1009,Name Pronunciation In German Text-To-Speech Synthesis,ANLP,1997
A97-1010,Applying Repair Processing In Chinese Homophone Disambiguation,ANLP,1997
A97-1011,A Non-Projective Dependency Parser,ANLP,1997
A97-1012,Incremental Finite-State Parsing,ANLP,1997
A97-1013,Developing A Hybrid NP Parser,ANLP,1997
A97-1014,An Annotation Scheme For Free Word Order Languages,ANLP,1997
A97-1015,The Domain Dependence Of Parsing,ANLP,1997
A97-1016,Automatic Acquisition Of Two-Level Morphological Rules,ANLP,1997
A97-1017,Probabilistic And Rule-Based Tagger Of An Inflective Language - A Comparison,ANLP,1997
A97-1018,CSeg&Tag1.0: A Practical Word Segmenter And POS Tagger For Chinese Texts,ANLP,1997
A97-1019,The NLP Role In Animated Conversation For CALL,ANLP,1997
A97-1020,Reading More Into Foreign Languages,ANLP,1997
A97-1021,Large-Scale Acquisition Of LCS-Based Lexicons For Foreign Language Tutoring,ANLP,1997
A97-1022,A Prototype Of A Grammar Checker For Czech,ANLP,1997
A97-1023,Techniques For Accelerating A Grammar-Checker,ANLP,1997
A97-1024,EasyEnglish: A Tool For Improving Document Quality,ANLP,1997
A97-1025,Contextual Spelling Correction Using Latent Semantic Analysis,ANLP,1997
A97-1026,An Automatic Scoring System For Advanced Placement Biology Essays,ANLP,1997
A97-1027,Dutch Sublanguage Semantic Tagging Combined With Mark-Up Technology,ANLP,1997
A97-1028,A Statistical Profile Of The Named Entity Task,ANLP,1997
A97-1029,Nymble: A High-Performance Learning Name-Finder,ANLP,1997
A97-1030,Disambiguation Of Proper Names In Text,ANLP,1997
A97-1031,An Information Extraction Core System For Real World German Text Processing,ANLP,1997
A97-1032,Layout And Language: Preliminary Experiments In Assigning Logical Structure To Table Cells,ANLP,1997
A97-1033,Building A Generation Knowledge Source Using Internet-Accessible Newswire,ANLP,1997
A97-1034,Using SGML As A Basis For Data-Intensive NLP,ANLP,1997
A97-1035,Software Infrastructure For Natural Language Processing,ANLP,1997
A97-1036,An Open Distributed Architecture For Reuse And Integration Of Heterogeneous NLP Components,ANLP,1997
A97-1037,Customizable Descriptions Of Object-Oriented Models,ANLP,1997
A97-1038,CogentHelp: NLG Meets SE In A Tool For Authoring Dynamically Generated On-Line Help,ANLP,1997
A97-1039,A Fast And Portable Realizer For Text Generation Systems,ANLP,1997
A97-1040,Multilingual Generation And Summarization Of Job Adverts: The Tree Project,ANLP,1997
A97-1041,Language Generation For Multimedia Healthcare Briefings,ANLP,1997
A97-1042,Identifying Topics By Position,ANLP,1997
A97-1043,An Automatic Extraction Of Key Paragraphs Based On Context Dependency,ANLP,1997
A97-1044,Building Effective Queries In Natural Language Information Retrieval,ANLP,1997
A97-1045,Construction And Visualization Of Key Term Hierarchies,ANLP,1997
A97-1046,Fast Statistical Parsing Of Noun Phrases For Document Indexing,ANLP,1997
A97-1047,An English To Turkish Machine Translation System Using Structural Mapping,ANLP,1997
A97-1048,An Interactive Translation Support Facility For Non-Professional Users,ANLP,1997
A97-1049,An Intelligent Multilingual Information Browsing And Retrieval System Using Information Extraction,ANLP,1997
A97-1050,Semi-Automatic Acquisition Of Domain-Specific Translation Lexicons,ANLP,1997
A97-1051,Mixed-Initiative Development Of Language Processing Systems,ANLP,1997
A97-1052,Automatic Extraction Of Subcategorization From Corpora,ANLP,1997
A97-1053,Learning Probabilistic Subcategorization Preference By Identifying Case Dependencies And Optimal Noun Class Generalization Level,ANLP,1997
A97-1054,A Workbench For Finding Structure In Texts,ANLP,1997
A97-1055,Automatic Selection Of Class Labels From A Thesaurus For An Effective Semantic Tagging Of Corpora,ANLP,1997
A97-1056,Sequential Model Selection For Word Sense Disambiguation,ANLP,1997
A97-2001,Syntactic Structures Of Sentences From Large Corpora,ANLP,1997
A97-2002,An Efficient Two Stage Approach To Robust Language Interpretation,ANLP,1997
A97-2003,Automating NL Appointment Scheduling With COSMA,ANLP,1997
A97-2004,Duke's Trainable Information And Meaning Extraction System (Duke TIMES),ANLP,1997
A97-2005,Dependency Parser Demo,ANLP,1997
A97-2006,An Improvement In The Selection Process Of Machine Translation Using Inductive Learning With Genetic Algorithms,ANLP,1997
A97-2007,CIRCSIM-Tutor: An Intelligent Tutoring System Using Natural Language Dialogue,ANLP,1997
A97-2008,NetOwl(TM) Server,ANLP,1997
A97-2010,A Broad-Coverage Word Sense Tagger,ANLP,1997
A97-2011,Microsoft Natural Language Understanding System And Grammar Checker,ANLP,1997
A97-2012,Two Multimodal Interfaces To Military Simulations,ANLP,1997
A97-2013,EAGLE: An Extensible Architecture For General Linguistic Engineering,ANLP,1997
A97-2014,An English Grammar Checker As A Writing Aid For Students Of English As A Second Language,ANLP,1997
A97-2015,CATMORF: Multi Two-Level Steps For Catalan Morphology,ANLP,1997
A97-2016,Software For Annotating Argument Structure,ANLP,1997
A97-2017,GATE - A General Architecture For Text Engineering,ANLP,1997
A97-2018,Multilingual NameTag(TM) Multilingual Internet Surveillance System Multimedia Fusion System,ANLP,1997
A97-2019,NL Assistant: A Toolkit For Developing Natural Language: Applications,ANLP,1997
A97-2020,Using BBN VALAD: Speech At The Logistics Anchor Desk,ANLP,1997
A97-2021,A Spoken Language Interface To A Virtual Reality System (Video),ANLP,1997
C00-1001,A Word-Grammar Based Morphological Analyzer For Agglutinative Languages,COLING,2000
C00-1002,Learning Word Clusters From Data Types,COLING,2000
C00-1003,Selectional Restrictions In HPSG,COLING,2000
C00-1004,Extended Models And Tools For High-Performance Part-Of-Speech,COLING,2000
C00-1005,An Ontology Of Systematic Relations For A Shared Grammar Of Slavic,COLING,2000
C00-1006,The Effects Of Word Order And Segmentation On Translation Retrieval Performance,COLING,2000
C00-1007,Exploiting A Probabilistic Hierarchical Model For Generation,COLING,2000
C00-1008,Incremental Identification Of Inflectional Types,COLING,2000
C00-1009,Combination Of N-Grams And Stochastic Context-Free Grammars For Language Modeling,COLING,2000
C00-1010,An Empirical Evaluation Of LFG-DOP,COLING,2000
C00-1011,Parsing With The Shortest Derivation,COLING,2000
C00-1012,The Effects Of Analysing Cohesion On Document Summarisation,COLING,2000
C00-1013,Creating A Universal Networking Language Module Within An Advanced NLP System,COLING,2000
C00-1014,Reusing An Ontology To Generate Numeral Classifiers,COLING,2000
C00-1015,You'll Take The High Road And I'll Take The Low Road: Using A Third Language To Improve Bilingual Word Alignment,COLING,2000
C00-1016,Binding Constraints As Instructions Of Binding Machines,COLING,2000
C00-1017,Probabilistic Parsing And Psychological Plausibility,COLING,2000
C00-1018,The Use Of Instrumentation In Grammar Engineering,COLING,2000
C00-1019,Automated Generalization Of Translation Examples,COLING,2000
C00-1020,A Client/Server Architecture For Word Sense Disambiguation,COLING,2000
C00-1021,Tagging Of Very Large Corpora: Topic-Focus Articulation,COLING,2000
C00-1022,Exogeneous And Endogeneous Approaches To Semantic Categorization Of Unknown Technical Terms,COLING,2000
C00-1023,Word Sense Disambiguation Of Adjectives Using Probabilistic Networks,COLING,2000
C00-1024,A Muitilingual News Summarizer,COLING,2000
