to_userId,from_userId,relation
808,2042,follow
1835,1209,review
3417,3302,review
2404,3690,review
20,1525,follow
1024,1098,review
2255,1708,review
1402,838,review
1972,3715,follow
1855,1645,follow
1875,355,follow
3486,1889,follow
3473,2233,like
2265,1701,review
2848,2789,review
3455,177,like
94,339,like
3208,1241,like
2540,3392,like
3698,2068,follow
2971,1244,follow
791,469,like
796,3008,follow
153,2409,review
1753,721,like
3225,1126,review
1761,1579,like
2309,3227,review
3533,3671,review
1985,2607,review
1863,2203,follow
2442,2983,follow
1497,3491,follow
2306,2898,review
2223,3718,follow
1376,733,review
1413,2727,follow
3471,3614,review
1892,2005,review
1279,3744,review
543,3548,review
1496,433,review
572,3145,review
2426,856,review
280,1866,review
828,1040,like
1180,35,review
3734,1729,follow
3317,1929,review
1871,220,review
1800,3543,review
3586,1462,follow
3563,2613,review
550,766,follow
3422,2104,like
1155,2786,like
3087,3607,review
260,330,like
685,2993,like
1261,235,follow
2241,471,like
1321,758,review
2681,1085,like
1555,2995,review
2176,1946,follow
1299,395,review
2929,321,review
911,539,follow
3142,324,review
2036,2621,review
1302,895,follow
2486,1033,like
3579,2683,review
1957,2146,like
633,2333,follow
2973,2342,like
1514,1538,like
512,806,follow
3008,2448,review
2542,3167,like
3279,3375,follow
1184,3328,like
337,1395,like
760,3349,follow
553,617,follow
851,3031,like
3305,3642,review
510,403,like
3021,1978,follow
1358,2279,like
2358,2063,follow
764,2427,review
3614,3508,review
1831,146,follow
165,1420,like
2359,2953,like
3101,2449,review
1139,1364,like
808,2365,review
2556,441,like
3327,1108,follow
862,1735,review
126,1939,like
2636,1587,review
2047,2318,follow
280,2659,follow
137,253,follow
2141,212,review
1495,2327,like
589,2719,like
2611,2064,like
3453,463,review
268,3151,like
254,2258,follow
2072,522,follow
1524,1118,follow
1258,2091,like
1732,1622,follow
2365,537,review
2154,1536,follow
2632,400,review
2085,2107,like
2282,890,like
1345,1550,review
503,674,follow
2506,749,follow
1308,2215,follow
1228,534,review
2775,3550,review
1222,896,like
3315,599,like
236,2751,like
112,601,review
523,2311,follow
3704,591,follow
2364,1866,follow
3030,1408,review
3723,2880,follow
1591,3294,follow
3365,2959,like
196,1479,review
1572,3701,follow
2569,2785,review
1345,655,follow
2109,2904,follow
3576,1072,like
507,1518,like
2684,2360,follow
1778,2057,review
1195,2900,like
3702,13,follow
3571,1445,follow
2127,3721,follow
2475,112,like
2317,3513,follow
3477,1852,like
2293,3659,review
2692,385,like
3000,822,follow
2444,862,review
2331,1578,like
3545,2033,follow
99,142,follow
2984,713,like
202,2297,follow
1997,3541,follow
1831,1370,follow
412,3618,like
3623,1975,follow
1429,1967,like
3466,1754,review
471,834,review
2797,2120,follow
933,106,follow
2130,1898,follow
3284,1970,like
3178,2661,like
2358,3040,review
3181,1023,follow
884,3059,follow
1696,3469,review
1335,3572,like
504,1319,review
2030,933,follow
2083,3120,review
298,2499,review
301,243,review
1495,2534,follow
3221,193,like
49,3294,like
1145,2479,like
2530,535,review
2825,938,follow
1225,2797,like
705,1042,review
2733,3629,follow
2705,1768,review
3128,3400,follow
3411,1869,like
3728,125,follow
1260,1161,like
2605,2314,like
3323,2337,review
3384,3347,review
192,3128,follow
2586,2060,like
2667,3283,review
1712,2296,like
2083,1280,review
1864,39,review
2484,3024,review
461,57,like
3087,1679,like
2852,2637,review
1856,2851,review
1383,2877,follow
904,546,like
367,972,follow
90,536,review
979,3355,follow
1599,1074,follow
2633,39,follow
2202,2795,follow
2196,3641,like
3126,1302,like
2019,3406,like
1342,1519,review
2562,2004,review
1324,1217,review
1755,350,like
735,1504,like
2088,3621,review
705,733,review
724,452,follow
3623,3415,follow
116,21,like
3452,3014,like
3620,3518,review
1125,3740,like
851,1166,follow
676,2203,review
271,2144,like
112,291,like
2980,2482,follow
3413,2632,like
67,606,review
1575,343,follow
2042,586,review
2929,2311,like
362,580,review
872,1014,like
622,298,follow
1242,2567,review
140,2379,like
3281,3270,like
3135,3063,review
2178,387,review
2860,1002,like
32,2240,like
1282,562,like
3033,1519,follow
149,2006,follow
2463,1379,like
1215,1831,like
395,3076,review
963,728,follow
211,3584,follow
3638,2972,like
1903,1010,follow
1890,1411,like
163,1259,follow
2894,3217,follow
1946,3337,follow
3655,3380,like
2910,3522,like
539,1101,follow
3062,2250,review
691,2749,like
2516,1065,follow
1632,807,review
557,762,review
2767,3664,review
573,3556,like
29,1687,review
2606,558,follow
347,3659,review
2703,2591,review
1216,3441,follow
1229,778,follow
2684,2683,follow
429,2565,like
2653,1552,like
2484,1855,like
132,1920,review
3645,3322,follow
3702,1988,like
1996,707,like
1269,3197,follow
1180,2008,follow
3367,974,like
2362,3482,like
3334,2422,review
2355,1035,follow
247,2807,follow
1383,2864,like
1006,2730,review
2393,990,like
1798,3702,review
1469,2070,review
646,3332,review
1639,3210,follow
516,1937,review
2918,2217,follow
1685,1747,like
617,621,follow
1336,1774,review
284,2311,follow
519,2182,follow
3508,2578,review
3007,3693,follow
972,418,like
3578,1889,follow
2557,3600,like
2430,2873,like
1894,1101,follow
2277,499,follow
2929,81,review
3485,2213,like
1831,906,like
2100,491,follow
55,2492,review
1594,38,follow
289,2989,like
2483,3127,follow
778,708,review
2999,3188,follow
1656,2390,follow
2748,1896,review
447,3156,review
3215,988,like
2488,1464,review
1597,3334,review
2522,2475,follow
722,1708,like
1924,2478,follow
2684,2902,review
141,28,follow
1947,3089,follow
2194,2992,review
1430,3218,review
1278,1738,review
1762,2346,review
3582,1678,like
2285,954,like
2775,2362,like
2979,2427,follow
1134,2428,follow
1508,2836,review
1262,1892,like
3462,2231,follow
2588,2253,like
3502,3501,follow
886,606,review
1902,1002,review
3436,3391,review
2409,427,like
369,2589,like
3747,845,like
267,2763,like
379,1081,follow
3552,3568,like
929,2825,review
1819,2441,review
2389,3180,like
1607,3360,review
2670,988,review
1611,3132,follow
2555,2561,follow
2397,238,like
2928,2325,review
1932,1493,review
3490,1021,like
386,1910,review
3317,3468,follow
3075,506,follow
226,2872,like
567,1185,follow
2488,3478,like
2972,3161,like
1688,873,review
3364,1683,review
1307,873,like
3134,796,review
1874,23,like
806,364,review
1573,2054,follow
769,1769,review
952,3738,review
3274,2065,review
666,1833,review
1025,134,like
2377,2143,like
2591,1834,review
1116,2100,like
3198,283,review
2031,116,review
593,2566,like
3348,1686,review
2255,3335,review
2383,987,like
1525,108,like
3182,283,like
2010,760,review
3059,2165,review
232,1912,review
1989,3334,follow
737,1512,review
1192,2533,follow
3452,1175,review
568,1184,review
434,3660,follow
3163,897,review
2685,2147,review
54,3389,review
1897,497,like
1766,677,like
3379,1018,like
3698,1401,follow
407,815,like
3057,1177,like
1786,376,review
1167,316,like
2051,1469,review
2724,1050,review
898,351,review
2814,2933,review
3583,431,like
3677,2577,follow
2359,740,review
3363,2067,review
3347,1277,follow
2315,1092,review
3592,2556,review
1889,1810,review
1904,1591,follow
2220,3591,follow
3376,3422,like
1034,2759,review
1121,3541,like
274,3689,like
574,2095,review
2845,3151,follow
791,2461,follow
269,673,review
3433,2776,review
3704,2694,follow
478,2486,follow
1326,467,review
2393,3430,follow
1472,195,follow
2959,3117,follow
3185,1427,review
1893,755,review
3275,3345,review
630,1628,follow
3221,2715,like
232,3016,review
2118,2214,review
3532,1129,like
3419,2300,like
952,1763,review
2169,3506,review
1698,1510,review
3157,213,like
3134,2228,follow
2935,2123,like
1210,1226,follow
3286,3260,review
3184,168,review
3611,2937,like
1934,121,like
1060,2097,review
2089,2178,like
3161,2383,follow
491,2262,review
1439,124,review
1787,917,review
1889,1962,review
2244,242,follow
1415,2367,review
889,18,follow
2036,2779,review
3706,635,like
624,3413,like
586,2971,follow
2953,498,like
3668,3162,review
3385,1173,like
3541,1531,review
936,3727,review
1593,603,like
3609,959,follow
153,1253,review
35,941,follow
2549,1765,follow
2635,3680,like
3562,933,review
1160,3357,review
2449,2293,follow
937,1554,review
658,3206,like
2709,2004,like
3379,2534,review
2510,1449,review
1262,3217,review
446,1950,review
2793,1600,review
1581,2870,like
3189,2881,review
3252,1335,follow
996,2713,review
1929,2615,like
2980,164,review
439,899,review
2032,2309,review
272,1588,like
2372,1351,follow
1346,566,like
2239,3391,follow
3168,1502,follow
1029,2427,follow
161,2944,like
165,2353,like
1515,123,like
3223,3516,review
1402,333,follow
3146,2606,follow
2902,3201,like
3101,3680,review
1198,2926,review
2669,2324,follow
1794,3717,follow
523,3372,like
3748,461,follow
1692,914,review
249,1026,follow
3727,3225,like
3639,482,follow
32,2434,like
343,2039,review
299,556,review
1800,1206,like
568,1498,like
3020,2728,review
11,3043,follow
1021,2942,like
851,172,follow
2680,1807,follow
1912,2214,like
1801,1535,review
746,2846,review
2575,1865,follow
1910,1319,review
2384,1090,follow
1541,2382,review
472,3359,like
608,1475,follow
2559,2606,review
42,1569,follow
3747,3713,follow
35,1254,follow
412,1463,like
2390,661,follow
1309,3356,follow
1192,1527,follow
600,253,like
333,1280,review
799,3443,review
1379,2829,like
3555,1616,like
3115,957,like
3399,2177,review
175,2848,follow
2924,2511,like
1403,964,follow
2089,628,follow
1263,3300,review
3468,3405,follow
1743,3285,follow
1143,2962,review
1341,2069,review
2068,3276,follow
554,3684,review
3036,2262,follow
1046,2760,like
1898,2332,follow
2086,959,follow
2904,423,like
2654,1801,like
1772,3046,like
3583,100,review
1259,3235,follow
2379,2710,like
317,2811,like
3152,1846,follow
3559,301,review
2484,859,follow
2921,1525,like
1265,2299,like
1603,319,follow
1671,2379,follow
3355,1023,follow
32,413,like
2657,3133,review
1072,201,like
962,1232,review
2838,1112,like
1694,1365,review
1422,724,review
3347,334,follow
653,2901,follow
2590,1554,review
1518,3706,review
1769,1103,review
1055,2115,review
2495,1956,review
3461,807,follow
3586,3704,review
3646,1685,like
3314,2364,follow
3377,2216,review
1663,2280,review
2328,555,follow
150,1585,follow
3357,1530,follow
2175,1105,review
1804,2151,review
2984,3700,review
248,106,follow
173,558,follow
935,3192,follow
826,565,like
163,1205,follow
3466,913,follow
1697,1707,follow
420,3595,follow
729,1548,like
481,1074,review
2342,3102,follow
2316,139,like
1218,3567,review
3532,168,follow
2927,3662,review
521,2635,review
3067,3257,like
2996,1386,follow
2284,824,follow
3073,2185,review
1126,2801,follow
2368,1926,review
668,1814,review
727,1079,review
2609,820,review
3311,1467,review
1009,2282,review
2431,2825,follow
466,2651,follow
533,1244,review
3301,729,review
374,2749,review
332,323,review
1033,1813,follow
2708,299,like
234,2347,like
1896,2077,like
2534,582,follow
1851,909,review
1797,1441,follow
